index,start_tc,end_tc,start_sec,end_sec,duration_sec,source,file,note
1,00:00:00:00,00:00:06:00,0,6,6,graphic,brief-history-calculus/ep1/text,Title slide
2,00:00:06:00,00:00:12:00,6,12,6,graphic,brief-history-calculus/ep1/archimedes_exhaustion.jpg,Archimedes drawing in sand table
3,00:00:12:00,00:00:18:00,12,18,6,graphic,brief-history-calculus/ep1/falling_apple_speed.jpg,Red apple falling with speed vectors
4,00:00:18:00,00:00:24:00,18,24,6,graphic,brief-history-calculus/ep1/archimedes_exhaustion.jpg,Archimedes study room candle
5,00:00:24:00,00:00:30:00,24,30,6,graphic,brief-history-calculus/ep1/text,Text slide defining Archimedes' method
6,00:00:30:00,00:00:36:00,30,36,6,graphic,brief-history-calculus/ep1/archimedes_exhaustion.jpg,Sand table circle polygons
7,00:00:36:00,00:00:42:00,36,42,6,graphic,brief-history-calculus/ep1/falling_apple_speed.jpg,Falling apple under tree branch
8,00:00:42:00,00:00:48:00,42,48,6,graphic,brief-history-calculus/ep1/text,Text slide on rates of change
9,00:00:48:00,00:00:54:00,48,54,6,graphic,brief-history-calculus/ep1/newton_plague_isolation.jpg,Young Isaac Newton at desk in isolation
10,00:00:54:00,00:01:00:00,54,60,6,graphic,brief-history-calculus/ep1/falling_apple_speed.jpg,Apple falling motion blur
11,00:01:00:00,00:01:06:00,60,66,6,graphic,brief-history-calculus/ep1/text,Text slide on Newton's discovery
12,00:01:06:00,00:01:12:00,66,72,6,graphic,brief-history-calculus/ep1/newton_plague_isolation.jpg,Newton looking out the window at crescent moon
13,00:01:12:00,00:01:18:00,72,78,6,graphic,brief-history-calculus/ep1/falling_apple_speed.jpg,Falling apple close up
14,00:01:18:00,00:01:24:00,78,84,6,graphic,brief-history-calculus/ep1/text,Text slide about rates of change
15,00:01:24:00,00:01:30:00,84,90,6,graphic,brief-history-calculus/ep1/newton_plague_isolation.jpg,Prisms and mathematical equations on papers
16,00:01:30:00,00:01:35:02,90,95.07,5.07,graphic,brief-history-calculus/ep1/text,Final transition text slide
